Rank,Team,Mascot,Region,Conf,Wins,Losses,Net_Rtng,Adj_OffE,Adj_OffE_rnk,Adj_DefE,Adj_Def_rnk,Adj_Tempo,Adj_Tempo_rnk,Luck_rting,Luck_rnk,SOS_Net_rtng,SOS_rnk,Avg_Opp_Adj_OffE,Opp_Adj_OffE_rnk,Avg_Opp_Adj_DefE,Opp_Adj_DefE_rnk,NCSOS_rtng,NCSOS_rnk,tournament_seed,mascot_uniqueness_tier,first_four,first_four_win,conf_tournament_winner
1,Duke,Blue Devils,East,ACC,32,2,38.9,128,4,89.1,2,65.3,287,0.049,63,14.29,15,117,24,102.7,10,10.07,18,1,1,,,TRUE
2,Michigan,Wolverines,Midwest,B10,31,2,37.66,127.7,5,90,3,69.8,54,0.023,127,14.97,9,117.6,15,102.7,7,3.25,102,1,1,,,
3,Arizona,Wildcats,West,B12,32,2,37.59,126.6,8,89,1,70.9,22,0.045,70,16.65,3,119.1,4,102.5,5,12.49,11,1,4,,,TRUE
4,Florida,Gators,South,SEC,26,7,33.79,125.5,9,91.7,6,70.5,28,-0.036,289,16.01,5,119.4,3,103.4,26,7.96,29,1,2,,,
5,Houston,Cougars,South,B12,28,6,33.43,124.9,14,91.4,5,63.3,352,-0.006,203,13.58,24,116.9,25,103.3,24,0.87,156,2,4,,,
6,Iowa St.,Cyclones,Midwest,B12,27,7,32.42,123.8,21,91.4,4,66.5,225,-0.012,219,12.44,31,115.6,48,103.1,20,-3.57,280,2,2,,,
7,Illinois,Fighting Illini,South,B10,24,8,32.1,131.2,2,99.1,28,65.5,277,-0.05,305,13.64,23,117,22,103.4,28,3.76,91,3,2,,,
8,Purdue,Boilermakers,West,B10,26,8,31.2,131.6,1,100.4,36,64.4,324,-0.006,198,15.88,7,118.3,9,102.5,4,6.31,50,2,1,,,TRUE
9,Michigan St.,Spartans,East,B10,25,7,28.31,123,24,94.7,13,66,252,0.005,178,13.69,21,118,11,104.4,55,3.65,93,3,4,,,
10,Gonzaga,Bulldogs,West,WCC,30,3,28.1,122,29,93.9,9,68.6,111,0.072,28,5.89,87,113,82,107.1,98,8.31,26,3,3,,,TRUE
11,Connecticut,Huskies,East,BE,29,5,27.87,122,30,94.1,11,64.4,322,0.055,55,12.01,36,115.3,53,103.3,23,7.63,38,2,3,,,
12,Vanderbilt,Commodores,South,SEC,26,8,27.51,126.8,7,99.3,31,68.8,98,0.018,133,14.56,13,118,13,103.4,29,1.16,148,5,1,,,
13,Virginia,Cavaliers,Midwest,ACC,29,5,26.71,122.5,27,95.8,16,65.7,271,0.056,52,9.95,70,115.4,49,105.5,73,-3.27,273,3,3,,,
14,Nebraska,Cornhuskers,South,B10,26,6,26.16,118.5,55,92.4,7,66.7,218,0.034,98,11.59,42,116.4,32,104.8,63,-6.03,319,4,2,,,
15,Arkansas,Razorbacks,West,SEC,26,8,26.05,127.7,6,101.6,48,71,20,0.051,61,14.95,10,118.9,7,103.9,38,4.41,81,4,3,,,TRUE
16,Tennessee,Volunteers,Midwest,SEC,22,11,26.02,121.1,37,95,15,65,307,-0.06,321,14.77,11,119,5,104.3,50,0.75,160,6,2,,,
17,St. John's,Red Storm,East,BE,28,6,25.91,120.1,44,94.2,12,69.6,68,0.061,44,11.52,43,115.1,59,103.6,31,6.61,44,5,1,,,TRUE
18,Alabama,Crimson Tide,Midwest,SEC,23,9,25.72,129,3,103.3,67,73.1,4,0.019,130,16.75,2,119.4,1,102.7,9,13.42,9,4,3,,,
19,Louisville,Cardinals,East,ACC,23,10,25.42,124.1,19,98.6,25,69.6,62,-0.02,239,12.55,30,115.8,40,103.3,25,2.41,116,6,3,,,
20,Texas Tech,Red Raiders,Midwest,B12,22,10,25.22,125,12,99.8,33,66.2,243,0.006,175,15.64,8,118.3,10,102.7,8,7.75,33,5,2,,,
21,Kansas,Jayhawks,East,B12,23,10,24.44,118.3,57,93.9,10,67.6,164,0.053,57,16.95,1,118,12,101,1,10.99,15,4,2,,,
22,Wisconsin,Badgers,West,B10,24,10,23.39,125.3,11,102,51,68.7,104,0.041,82,13.93,18,117.2,20,103.3,22,-1.1,219,5,2,,,
23,BYU,Cougars,West,B12,23,11,23.25,125.5,10,102.2,57,69.9,46,-0.017,232,14.27,16,116.3,33,102,3,4.88,74,6,4,,,
24,Saint Mary's,Gaels,South,WCC,27,5,23.07,120.3,43,97.2,19,65.2,297,0.011,155,4.99,93,111.5,96,106.5,92,3.9,90,7,2,,,
25,Iowa,Hawkeyes,South,B10,21,12,22.44,121.7,31,99.3,30,63,357,-0.061,328,11.37,47,115.6,47,104.2,49,-7.17,336,9,2,,,
26,Ohio St.,Buckeyes,East,B10,21,12,22.24,124.3,17,102.1,54,66.1,251,-0.031,272,13.67,22,116.6,28,103,15,-1.82,236,8,2,,,
27,UCLA,Bruins,East,B10,23,11,21.67,123.7,22,102.1,53,64.6,318,0.017,136,12.22,33,116.1,35,103.9,37,-2.17,249,7,3,,,
28,Kentucky,Wildcats,Midwest,SEC,21,13,21.48,120.5,39,99,27,68.3,124,-0.019,235,15.92,6,119,6,103.1,19,1.33,142,7,4,,,
29,North Carolina,Tar Heels,South,ACC,24,8,20.84,121.4,32,100.5,37,67.9,143,0.057,49,11.46,45,115.4,50,103.9,40,1.33,141,6,1,,,
30,Utah St.,Aggies,West,MWC,28,6,20.76,122.1,28,101.4,45,67.7,158,0.065,39,7.13,80,112.8,83,105.7,76,1.97,125,9,3,,,TRUE
31,Miami FL,Hurricanes,West,ACC,25,8,20.68,121.4,33,100.7,38,67.6,169,0.021,129,7.99,77,113.7,76,105.7,75,-7.33,340,7,2,,,
32,Georgia,Bulldogs,Midwest,SEC,22,10,20.48,124.7,16,104.2,80,71.4,16,-0.005,196,10.78,61,116,39,105.2,70,-6.45,326,8,4,,,
33,Villanova,Wildcats,West,BE,24,8,19.97,120.4,41,100.4,35,65.2,296,0.067,35,10.37,67,114.7,65,104.3,54,2.9,108,8,4,,,
34,N.C. State,Wolfpack,West,ACC,20,13,19.6,124.1,20,104.5,86,69.1,86,-0.029,261,11.97,37,116,37,104,43,4.1,85,11,3,TRUE,,
35,Santa Clara,Broncos,Midwest,WCC,26,8,19.4,123.6,23,104.2,82,69.2,82,0.015,142,6.02,85,111.8,93,105.8,80,3.91,89,10,3,,,
36,Clemson,Tigers,South,ACC,24,10,19.24,116.5,71,97.3,20,64.2,333,0.011,156,10.53,65,115.2,54,104.7,60,0.64,167,8,4,,,
37,Texas,Longhorns,West,SEC,19,14,19.13,124.2,18,105,95,66.9,208,-0.068,333,13.95,18,117.6,16,103.6,33,-6.36,322,11,2,TRUE,TRUE,
39,Texas A&M,Aggies,South,SEC,21,11,18.67,119.7,49,101,41,70.5,29,-0.002,192,11.15,52,117,23,105.8,82,-5.88,317,10,3,,,
41,Saint Louis,Billikens,Midwest,A10,28,5,18.32,119.5,51,101.2,42,71,21,0.03,110,1.03,130,108.9,173,107.8,122,-5.82,316,9,1,,,
42,SMU,Mustangs,Midwest,ACC,20,13,18.09,122.9,26,104.8,91,68.5,115,-0.043,297,11.15,51,115.7,43,104.6,58,1.24,144,11,3,TRUE,,
43,TCU,Horned Frogs,East,B12,22,11,17.59,115.4,81,97.8,22,67.7,159,0.004,179,11.04,53,115.2,55,104.1,46,-6.96,333,9,1,,,
45,VCU,Rams,South,A10,27,7,17.21,119.9,46,102.7,60,68.5,116,-0.007,207,3.49,102,110.4,109,106.9,96,-1.27,222,11,2,,,
48,South Florida,Bulls,East,Amer,25,8,16.39,117.3,61,100.9,40,71.5,15,-0.026,253,3.04,104,111.2,97,108.2,131,4.94,73,11,2,,,TRUE
72,Northern Iowa,Panthers,East,MVC,23,12,11.81,110,153,98.2,24,62.3,363,-0.07,334,1.27,127,109.5,142,108.2,132,-0.87,208,12,4,,,TRUE
106,Cal Baptist,Lancers,East,WAC,25,8,5.99,107.9,191,101.9,50,65.8,265,0.091,19,-1.95,204,107.1,265,109.1,161,-3.32,275,13,2,,,TRUE
113,North Dakota St.,Bison,East,Sum,27,7,5.13,111.7,124,106.6,124,66.3,237,0.04,89,-5.83,282,106.5,280,112.3,293,-0.97,214,14,2,,,TRUE
54,UCF,Knights,East,B12,21,11,15.04,120.5,40,105.4,101,69.2,78,0.097,17,11.91,39,115,61,103.1,17,-2.56,258,10,2,,,
191,Furman,Paladins,East,SC,22,12,-1.98,107.5,200,109.4,181,65.9,263,0.01,159,-6.29,289,108.1,217,114.4,356,-0.7,204,15,1,,,
68,McNeese,Cowboys,South,Slnd,28,5,12.48,114.3,91,101.8,49,66.2,246,0.084,21,-1.86,201,107.5,250,109.4,171,9.13,22,12,3,,,TRUE
143,Troy,Trojans,South,SB,22,11,1.72,110.7,141,109,166,64.9,309,0.024,125,-3.23,226,107.5,249,110.8,220,4.15,84,13,3,,,TRUE
150,Penn,Quakers,South,Ivy,18,11,1.47,107.4,204,105.9,111,69,87,0.068,34,-0.69,166,109.2,154,109.9,189,0.51,171,14,1,,,TRUE
145,Idaho,Vandals,South,BSky,21,14,1.53,108.8,176,107.3,136,67.7,156,-0.012,217,-1.67,195,109.4,147,111.1,233,0.74,161,15,1,,,TRUE
187,Tennessee St.,Tigers,Midwest,OVC,23,9,-1.83,109.1,173,110.9,212,70.2,36,0.07,31,-8.26,326,103.2,343,111.5,252,5.4,61,15,4,,,TRUE
140,Wright St.,Raiders,Midwest,Horz,23,11,2.04,112.1,117,110,193,67.2,192,0.009,166,-4.03,249,109.4,148,113.4,340,0.85,157,14,2,,,TRUE
87,Hofstra,Pride,Midwest,CAA,24,10,9.49,114.6,89,105.1,95,64.7,317,-0.052,308,-0.91,173,108,223,108.9,156,3.13,103,13,1,,,TRUE
64,Akron,Zips,Midwest,MAC,29,5,12.8,118.8,54,106,113,70.3,32,0.018,132,-3.65,236,108.5,194,112.1,286,-3.11,267,12,1,,,
181,Queens,Royals,West,ASun,21,13,-1.44,115.8,77,117.2,322,69.6,65,0.067,37,-5.66,276,108.3,200,114,353,5.71,58,15,1,,,TRUE
52,Missouri ,Tigers,West,SEC,20,12,15.39,119.5,50,104.1,78,66.2,244,0.041,83,11.51,44,116.5,29,105,68,-7.78,344,10,4,,,
163,Kennesaw St. ,Owls,West,CUSA,21,13,0.57,110.6,143,110.1,194,71.2,19,0.009,167,-2.23,211,108,225,110.2,202,-5.17,304,14,2,,,TRUE
92,High Point ,Panthers,West,BSth,30,4,8.4,117,66,108.6,161,69.9,49,0.048,64,-9.23,342,103.7,330,112.9,319,-8.88,355,12,4,,,TRUE
108,Hawaii,Rainbow Warriors,West,BW,24,8,5.97,107.1,211,101.2,43,69.7,61,0.038,92,-3.37,228,106.6,277,109.9,191,-11.24,364,13,1,,,TRUE
